#NWSLID="SCOA2"
#RATING SHIFTED="06/15/2005"
#Scottie River near Northway AK,
#Rating 1.d valid since 06/15/2005,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
14.62,637.00
14.63,638.00
14.64,639.00
14.65,640.00
14.66,641.00
14.67,642.00
14.68,643.00
14.69,644.00
14.70,645.00
14.71,646.00
14.72,647.00
14.73,648.00
14.74,649.00
14.75,650.00
14.76,651.00
14.77,652.00
14.78,653.00
14.79,654.00
14.80,655.00
14.81,656.00
14.82,657.00
14.83,658.00
14.84,659.00
14.85,660.00
14.86,661.00
14.87,662.00
14.88,663.00
14.89,664.00
14.90,665.00
14.91,666.00
14.92,667.00
14.93,668.00
14.94,669.00
14.95,670.00
14.96,671.00
14.97,672.00
14.98,673.00
14.99,674.00
15.00,675.00
15.01,676.00
15.02,677.00
15.03,678.00
15.04,679.00
15.05,680.00
15.06,681.00
15.07,682.00
15.08,683.00
15.09,684.00
15.10,685.00
15.11,686.00
15.12,687.00
15.13,688.00
15.14,689.00
15.15,690.00
15.16,691.00
15.17,692.00
15.18,693.00
15.19,694.00
15.20,695.00
15.21,696.00
15.22,697.00
15.23,698.00
15.24,699.00
15.25,700.00
15.26,701.00
15.27,702.00
15.28,703.00
15.29,704.00
15.30,705.00
15.31,706.00
15.32,707.00
15.33,708.00
15.34,709.00
15.35,710.00
15.36,711.00
15.37,712.00
15.38,713.00
15.39,714.00
15.40,715.00
15.41,716.00
15.42,717.00
15.43,718.00
15.44,719.00
15.45,720.00
15.46,721.00
15.47,722.00
15.48,723.00
15.49,724.00
15.50,725.00
15.51,726.00
15.52,727.00
15.53,728.00
15.54,729.00
15.55,730.00
15.56,731.00
15.57,732.00
15.58,733.00
15.59,734.00
15.60,735.00
15.61,736.00
15.62,737.00
15.63,738.00
15.64,739.00
15.65,740.00
15.66,741.00
15.67,742.00
15.68,743.00
15.69,744.00
15.70,745.00
15.71,746.00
15.72,747.00
15.73,748.00
15.74,749.00
15.75,750.00
15.76,751.00
15.77,752.00
15.78,753.00
15.79,754.00
15.80,755.00
15.81,756.00
15.82,757.00
15.83,758.00
15.84,759.00
15.85,760.00
15.86,761.00
15.87,762.00
15.88,763.00
15.89,764.00
15.90,765.00
15.91,766.00
15.92,767.00
15.93,768.00
15.94,769.00
15.95,770.00
15.96,771.00
15.97,772.00
15.98,773.00
15.99,774.00
16.00,775.00
16.01,776.00
16.02,777.00
16.03,778.00
16.04,779.00
16.05,780.00
16.06,781.00
16.07,782.00
16.08,783.00
16.09,784.00
16.10,785.00
16.11,786.00
16.12,787.00
16.13,788.00
16.14,789.00
16.15,790.00
16.16,791.00
16.17,792.00
16.18,793.00
16.19,794.00
16.20,795.00
16.21,796.00
16.22,797.00
16.23,798.00
16.24,799.00
16.25,800.00
16.26,801.00
16.27,802.00
16.28,803.00
16.29,804.00
16.30,805.00
16.31,806.00
16.32,807.00
16.33,808.00
16.34,809.00
16.35,810.00
16.36,811.00
16.37,812.00
16.38,813.00
16.39,814.00
16.40,815.00
16.41,817.00
16.42,818.00
16.43,819.00
16.44,820.00
16.45,821.00
16.46,822.00
16.47,823.00
16.48,824.00
16.49,825.00
16.50,826.00
16.51,827.00
16.52,828.00
16.53,829.00
16.54,830.00
16.55,831.00
16.56,832.00
16.57,833.00
16.58,834.00
16.59,835.00
16.60,836.00
16.61,837.00
16.62,838.00
16.63,839.00
16.64,840.00
16.65,841.00
16.66,842.00
16.67,843.00
16.68,844.00
16.69,845.00
16.70,846.00
16.71,847.00
16.72,848.00
16.73,849.00
16.74,850.00
16.75,851.00
16.76,852.00
16.77,853.00
16.78,854.00
16.79,855.00
16.80,856.00
16.81,857.00
16.82,858.00
16.83,859.00
16.84,860.00
16.85,861.00
16.86,862.00
16.87,863.00
16.88,864.00
16.89,865.00
16.90,866.00
16.91,867.00
16.92,868.00
16.93,869.00
16.94,870.00
16.95,871.00
16.96,872.00
16.97,873.00
16.98,874.00
16.99,875.00
17.00,876.00
17.01,877.00
17.02,878.00
17.03,879.00
17.04,881.00
17.05,882.00
17.06,883.00
17.07,884.00
17.08,885.00
17.09,886.00
17.10,887.00
17.11,888.00
17.12,889.00
17.13,890.00
17.14,891.00
17.15,892.00
17.16,893.00
17.17,894.00
17.18,896.00
17.19,897.00
17.20,898.00
17.21,899.00
17.22,900.00
17.23,901.00
17.24,902.00
17.25,903.00
17.26,904.00
17.27,906.00
17.28,907.00
17.29,908.00
17.30,909.00
17.31,910.00
17.32,911.00
17.33,912.00
17.34,913.00
17.35,915.00
17.36,916.00
17.37,917.00
17.38,918.00
17.39,919.00
17.40,920.00
17.41,921.00
17.42,922.00
17.43,923.00
17.44,925.00
17.45,926.00
17.46,927.00
17.47,928.00
17.48,929.00
17.49,930.00
17.50,931.00
17.51,932.00
17.52,933.00
17.53,935.00
17.54,936.00
17.55,937.00
17.56,938.00
17.57,939.00
17.58,940.00
17.59,941.00
17.60,942.00
17.61,943.00
17.62,944.00
17.63,945.00
17.64,947.00
17.65,948.00
17.66,949.00
17.67,950.00
17.68,951.00
17.69,952.00
17.70,953.00
17.71,954.00
17.72,955.00
17.73,956.00
17.74,957.00
17.75,958.00
17.76,960.00
17.77,961.00
17.78,962.00
17.79,963.00
17.80,964.00
17.81,965.00
17.82,966.00
17.83,967.00
17.84,969.00
17.85,970.00
17.86,971.00
17.87,972.00
17.88,973.00
17.89,974.00
17.90,976.00
17.91,977.00
17.92,978.00
17.93,979.00
17.94,980.00
17.95,981.00
17.96,983.00
17.97,984.00
17.98,985.00
17.99,986.00
18.00,987.00
18.01,989.00
18.02,990.00
18.03,991.00
18.04,992.00
18.05,994.00
18.06,995.00
18.07,996.00
18.08,997.00
18.09,999.00
18.10,1000.00
18.11,1000.00
18.12,1000.00
18.13,1000.00
18.14,1010.00
18.15,1010.00
18.16,1010.00
18.17,1010.00
18.18,1010.00
18.19,1010.00
18.20,1010.00
18.21,1020.00
18.22,1020.00
18.23,1020.00
18.24,1020.00
18.25,1020.00
18.26,1020.00
18.27,1020.00
18.28,1030.00
18.29,1030.00
18.30,1030.00
18.31,1030.00
18.32,1030.00
18.33,1030.00
18.34,1030.00
18.35,1040.00
18.36,1040.00
18.37,1040.00
18.38,1040.00
18.39,1040.00
18.40,1040.00
18.41,1040.00
18.42,1050.00
18.43,1050.00
18.44,1050.00
18.45,1050.00
18.46,1050.00
18.47,1050.00
18.48,1060.00
18.49,1060.00
18.50,1060.00
18.51,1060.00
18.52,1060.00
18.53,1060.00
18.54,1070.00
18.55,1070.00
18.56,1070.00
18.57,1070.00
18.58,1070.00
18.59,1080.00
18.60,1080.00
18.61,1080.00
18.62,1080.00
18.63,1080.00
18.64,1090.00
18.65,1090.00
18.66,1090.00
18.67,1090.00
18.68,1090.00
18.69,1100.00
18.70,1100.00
18.71,1100.00
18.72,1100.00
18.73,1110.00
18.74,1110.00
18.75,1110.00
18.76,1110.00
18.77,1110.00
18.78,1120.00
18.79,1120.00
18.80,1120.00
18.81,1120.00
18.82,1130.00
18.83,1130.00
18.84,1130.00
18.85,1130.00
18.86,1130.00
18.87,1140.00
18.88,1140.00
18.89,1140.00
18.90,1140.00
18.91,1150.00
18.92,1150.00
18.93,1150.00
18.94,1150.00
18.95,1150.00
18.96,1160.00
18.97,1160.00
18.98,1160.00
18.99,1160.00
19.00,1170.00
19.01,1170.00
19.02,1170.00
19.03,1170.00
19.04,1180.00
19.05,1180.00
19.06,1180.00
19.07,1180.00
19.08,1180.00
19.09,1190.00
19.10,1190.00
19.11,1190.00
19.12,1190.00
19.13,1200.00
19.14,1200.00
19.15,1200.00
19.16,1200.00
19.17,1210.00
19.18,1210.00
19.19,1210.00
19.20,1210.00
19.21,1210.00
19.22,1220.00
19.23,1220.00
19.24,1220.00
19.25,1220.00
19.26,1230.00
19.27,1230.00
19.28,1230.00
19.29,1230.00
19.30,1240.00
19.31,1240.00
